mcl(2)Z3534	FBgn0069177
l(2)k06409	FBgn0022129
CG12512	FBgn0031703
anon-64Bf	FBgn0015884
Transpac\\pol	FBgn0040265
CG31357	FBgn0051357
ATbp	FBgn0039946
CG12398	FBgn0030596
E(f)	FBgn0000555
CG8878	FBgn0027504
tRNA:Trp-CCA-1-2	FBgn0050211
mu1	FBgn0002871
CR44497	FBgn0265690
CG15556	FBgn0039821
l(3)S018611b	FBgn0061070
E(lz)	FBgn0004678
JmX	FBgn0010055
Pt-11	FBgn0022379
l(2)SH0301	FBgn0065853
CR45727	FBgn0267291
CG3085	FBgn0034816
CR30121	FBgn0050121
B0176	FBgn0259573
Odc1	FBgn0013307
l(3)93DFg	FBgn0025755
CR43660	FBgn0263708
mdg1\\sORF2	FBgn0045845
CG41232	FBgn0085562
CR43428	FBgn0263376
e(y)1	FBgn0000617
CG6660	FBgn0039030
gl(1)170-20	FBgn0069238
CG18549	FBgn0038053
mRpS2	FBgn0031639
wey	FBgn0067638
CG12528	FBgn0040886
ubl	FBgn0022224
CG11400	FBgn0034198
grape	FBgn0023440
veil	FBgn0034225
CG42540	FBgn0260657
BG02201	FBgn0069985
CG9509	FBgn0030594
scramb2	FBgn0035390
tRNA:Arg-CCT-1-3	FBgn0053538
CG33632	FBgn0053632
l(1)G0363	FBgn0027209
Pkn::Mmus\\Rtkn	FBgn0260501
l(3)AFA7	FBgn0011046
Prtl99C	FBgn0039707
CR45532	FBgn0267088
l(3)S025507	FBgn0061019
E(gl)2A	FBgn0016625
CG6959	FBgn0037956
l(1)G0096	FBgn0067754
Su(E1)-B	FBgn0262768
ths::pyr	FBgn0263099
Spindly	FBgn0031549
GSd435	FBgn0260280
CG30037	FBgn0050037
flo	FBgn0000674
shk	FBgn0011210
Su(rst)C379	FBgn0044001
Men	FBgn0002719
CG31545	FBgn0051545
frma	FBgn0029769
CG7786	FBgn0034096
cdi	FBgn0004876
CG17377	FBgn0031859
mat(2)cell-C	FBgn0002654
Updo	FBgn0033428
Or83c	FBgn0037399
JR8	FBgn0086324
l(1)Q9	FBgn0011056
fs(1)C6	FBgn0000790
l(2)k05627	FBgn0024872
anon-59Da	FBgn0016771
CG44259	FBgn0265199
CG32579	FBgn0052579
CG41251	FBgn0085577
C55	FBgn0023400
CG5565	FBgn0031335
l(2)SH1722	FBgn0065365
CG41042	FBgn0069965
Sld5	FBgn0039403
Branchlet	FBgn0004988
NssBF	FBgn0011679
Mod(var)1227	FBgn0062617
CG16890	FBgn0028932
TBC1D5	FBgn0038129
KHD-5	FBgn0024339
CG42357	FBgn0259703
CR45888	FBgn0267548
CG10650	FBgn0046302
CG3222	FBgn0036014
CG32204	FBgn0052204
Syx8	FBgn0036643
CG41579	FBgn0085705
CG45063	FBgn0266433
CG10188	FBgn0032796
CG40798	FBgn0085519
Surf1	FBgn0029117
CG43202	FBgn0262838
Nup54	FBgn0033737
CG5984	FBgn0039500
fs(3)H813	FBgn0086678
B1034	FBgn0259644
CG17349	FBgn0032771
het-rep3	FBgn0004411
Rop	FBgn0004574
dmrt93B	FBgn0038851
UY2517	FBgn0064210
CG32320	FBgn0052320
CG1924	FBgn0030377
sun	FBgn0014391
pgant3	FBgn0027558
2L2653	FBgn0260593
Bom	FBgn0012043
l(3)3450-M	FBgn0063410
CR43939	FBgn0264567
anon-87Ae	FBgn0015347
5SrRNA:CR33397	FBgn0053397
CG45116	FBgn0266591
Dek	FBgn0026533
CG3511	FBgn0035027
rip	FBgn0014381
ifm(2)RS10	FBgn0259826
l(2)22Ag	FBgn0040132
CG30463	FBgn0050463
mir-219	FBgn0262376
kune	FBgn0033032
CG6833	FBgn0036405
Su(tor)3-344	FBgn0014068
Git	FBgn0033539
l(2)SH0319	FBgn0065845
yellow-f	FBgn0041710
l(2)49Fo	FBgn0002085
l(3)j4E6	FBgn0011791
His2A:CG33808	FBgn0053808
CR44813	FBgn0266048
CG31855	FBgn0051855
CG32071	FBgn0052071
plo	FBgn0003112
siz	FBgn0026179
Prat2	FBgn0041194
Moe	FBgn0011661
l(2)SH0678	FBgn0065673
Sfp26Ac	FBgn0259959
fs(1)A214	FBgn0000743
CG10222	FBgn0036356
l(3)S097406b	FBgn0060556
l(1)Q214	FBgn0011138
Prosbeta6	FBgn0002284
l(3)S125801b	FBgn0027995
CG3847	FBgn0029867
CG15916	FBgn0030704
CG7251	FBgn0031723
CG4955	FBgn0030814
Sos	FBgn0001965
Golgin84	FBgn0039188
l(3)69Bc	FBgn0002271
CG7372	FBgn0036522
CG6254	FBgn0037794
CG11231	FBgn0039939
CR43866	FBgn0264448
GTD74-61-3	FBgn0044058
CG42764	FBgn0261832
CG1077	FBgn0037405
Mrp4	FBgn0263316
mir-4981	FBgn0263572
l(3)84Ed	FBgn0004206
BG01740	FBgn0069996
l(1)Q217	FBgn0011141
BG01046	FBgn0070019
l(3)SG54	FBgn0002494
CG3982	FBgn0035988
CG9101	FBgn0030622
l(3)S012613b	FBgn0061082
CG8213	FBgn0033359
Ntmt	FBgn0033457
CR43929	FBgn0264550
CG12728	FBgn0029825
HSPC300	FBgn0061198
MsR1	FBgn0035331
l(1)G0433	FBgn0028272
CG1695	FBgn0031116
Cpr65Ax2	FBgn0042118
CG31257	FBgn0051257
c625	FBgn0067388
CG9592	FBgn0036426
CG6401	FBgn0034270
esn	FBgn0263934
CG14269	FBgn0029658
l(2)SH0167	FBgn0065917
mir-1001	FBgn0262286
CG13239	FBgn0037197
CG18826	FBgn0042149
CR44147	FBgn0264996
CG15526	FBgn0039744
vnc	FBgn0263251
snoRNA:Me28S-G2703a	FBgn0082931
Panx	FBgn0034617
l(2)k00312	FBgn0024676
IM33	FBgn0031561
CR45151	FBgn0266644
l(3)ry125a	FBgn0014316
Not10	FBgn0260444
snoRNA:Psi18S-640a	FBgn0083026
Cdk8	FBgn0015618
CheB38c	FBgn0032888
CG41577	FBgn0085703
CR43961	FBgn0264676
tal-1A	FBgn0259730
CR45662	FBgn0267222
3R-64-33	FBgn0070038
CG14691	FBgn0037829
l(3)02733	FBgn0010788
CG6972	FBgn0039008
l(2)SH0200	FBgn0065901
CG12071	FBgn0039808
His1:CG33822	FBgn0053822
px	FBgn0003175
CG14949	FBgn0035358
Klp3A	FBgn0011606
ms(3)A2	FBgn0025145
E(To)12	FBgn0046123
l(2)k07406	FBgn0022087
CG13720	FBgn0035555
DDB2	FBgn0067303
ppk	FBgn0020258
l(2)SH0388	FBgn0065809
l(3)rM060	FBgn0024580
CG8838	FBgn0031526
nero	FBgn0261479
CG1646	FBgn0039600
CR44155	FBgn0265038
ave	FBgn0050476
l(3)S147410	FBgn0060316
CG41246	FBgn0085572
l(1)TK121	FBgn0005716
SuUR	FBgn0025355
Hs3st-B	FBgn0031005
mir-964	FBgn0262243
CG13992	FBgn0031756
Dlc90F	FBgn0024432
l(2)W2	FBgn0028605
Rpt4R	FBgn0036224
gammaTub23C	FBgn0260639
CR45005	FBgn0266357
Raf	FBgn0003079
tRNA:Pro-TGG-1-1	FBgn0011944
CR45630	FBgn0267190
l(3)64Cf	FBgn0016896
l(3)S125816b	FBgn0060431
CR44674	FBgn0265885
l(1)14DEa	FBgn0001539
CG2681	FBgn0024997
l(1)M96	FBgn0001787
dos	FBgn0016794
EP-A7	FBgn0259429
CR44058	FBgn0264867
CG13301	FBgn0039893
boca	FBgn0004132
l(3)hem	FBgn0004578
MED7	FBgn0051390
l(2)47A3	FBgn0262648
Vitamin-D-hydroxylase	FBgn0024274
CG4101	FBgn0025558
Fs(2)Kom	FBgn0000987
CR33701	FBgn0053701
Flutter	FBgn0000710
CG14985	FBgn0035482
CG1307	FBgn0026566
CR45530	FBgn0267086
CG15651	FBgn0034567
CG43354	FBgn0263086
CR44190	FBgn0265079
CG4658	FBgn0032170
Ktl	FBgn0038839
fs(2)OW811	FBgn0005087
CG34105	FBgn0083941
anon-C2	FBgn0026736
CG13177	FBgn0040759
EP2204	FBgn0083240
Mapmodulin	FBgn0034282
ax	FBgn0014126
CG6758	FBgn0034704
CG8083	FBgn0025709
CG31224	FBgn0051224
l(1)ts5141	FBgn0001849
slb	FBgn0003419
uncl	FBgn0003951
l(3)rP047	FBgn0011525
l(2)SH0901	FBgn0065591
CR46163	FBgn0267875
P12	FBgn0062563
snoRNA:Me18S-A1374	FBgn0065080
l(1)G0455	FBgn0029053
l(1)75B3	FBgn0019757
anon-A1	FBgn0022752
CG42493	FBgn0260007
ppk29	FBgn0034965
CG31446	FBgn0051446
CR45975	FBgn0267637
CG34283	FBgn0085312
stout	FBgn0001428
l(3)F12	FBgn0002421
Cyt-c-p	FBgn0000409
l(2)10505	FBgn0010664
E(smoDN)1414	FBgn0083311
l(1)G0242	FBgn0028339
TotF	FBgn0044811
l(3)S096003b	FBgn0060570
CG42299	FBgn0259195
l(2)SH0488	FBgn0065756
CR45583	FBgn0267143
CG18135	FBgn0036837
CG17738	FBgn0038009
Lcp1Psi	FBgn0011812
CG13589	FBgn0035011
l(1)7Dm	FBgn0001459
l(2)SH1237	FBgn0065490
l(4)102ABe	FBgn0004528
CG9034	FBgn0040931
l(2)ch	FBgn0027156
Obp56a	FBgn0034468
NucU	FBgn0019953
EG7	FBgn0262067
l(3)L1233	FBgn0013615
CG10560	FBgn0039325
fs(1)M21	FBgn0000837
ovt	FBgn0004074
l(3)S147406a	FBgn0060317
CR45584	FBgn0267144
prd1	FBgn0004438
l(2)k16204	FBgn0021823
CG3597	FBgn0031417
l(2)SH1954	FBgn0065310
lgt	FBgn0002550
l(3)j9A5	FBgn0011414
Peritrophin-A	FBgn0022770
CG12476	FBgn0040672
CG4741	FBgn0035040
CG15115	FBgn0034413
CG3262	FBgn0032986
CG41481	FBgn0084041
l(2)EL3	FBgn0041739
CG41458	FBgn0084020
tRNA:Lys-CTT-1-11	FBgn0011897
CG33230	FBgn0053230
l(3)71EFa	FBgn0027142
l(3)S024314b	FBgn0042635
E(var)181	FBgn0013229
CG42638	FBgn0261361
l(1)N37	FBgn0016856
CG12420	FBgn0037797
l(1)44	FBgn0016799
Mec2	FBgn0030993
CR44021	FBgn0264791
vis	FBgn0033748
DNApol-epsilon58	FBgn0035644
Ndae1	FBgn0259111
mir-2279	FBgn0262204
dor	FBgn0000482
anon-4Cb	FBgn0014103
CG31198	FBgn0051198
efe	FBgn0041760
CG32278	FBgn0052278
Su(var)311	FBgn0004115
MCP-4.s	FBgn0066098
CG7466	FBgn0031981
Atg3	FBgn0036813
Pa	FBgn0015782
ksh-15	FBgn0028632
Pdk1	FBgn0020386
I-element\\RTase	FBgn0020418
wls	FBgn0036141
CG31441	FBgn0051441
CR46032	FBgn0267696
TBCD	FBgn0027509
l(1)2Bt	FBgn0001388
crm	FBgn0000376
l(3)Sp1	FBgn0002511
mRpS18C	FBgn0039765
CG31874	FBgn0051874
CR42746	FBgn0261709
CR43941	FBgn0264569
CR45141	FBgn0266634
unk	FBgn0004395
CR46211	FBgn0267930
mir-9c	FBgn0262430
CR46033	FBgn0267697
Lcp6	FBgn0002537
CG33278	FBgn0053278
CR41585	FBgn0085806
ctrip	FBgn0260794
fcl	FBgn0000643
CG7277	FBgn0031713
CR44710	FBgn0265921
l(1)2Bl	FBgn0001380
mdm	FBgn0002454
ms(1)202	FBgn0005305
sip3	FBgn0039875
ND-B18	FBgn0030605
mus312	FBgn0002909
mmy	FBgn0259749
gn	FBgn0001117
CG16964	FBgn0032385
CG17198	FBgn0039366
CR45325	FBgn0266864
CR45966	FBgn0267628
CG18609	FBgn0034382
l(2)52ACa	FBgn0005524
412\\ORF3	FBgn0043847
CR45806	FBgn0267456
l(2)SH1207	FBgn0065501
CR42499	FBgn0260225
CG14232	FBgn0031061
CR45533	FBgn0267089
CG31950	FBgn0051950
enok	FBgn0034975
snRNA:U5:38ABb	FBgn0043021
fs(1)M95	FBgn0000895
CG10920	FBgn0029963
CG13623	FBgn0039205
l(2)k11512	FBgn0014273
anon-82Fa	FBgn0020323
CG4080	FBgn0035983
Unc-115b	FBgn0260463
mir-987	FBgn0262220
CR32366	FBgn0063757
l(3)93DFb	FBgn0025760
msk	FBgn0026252
CG4269	FBgn0034741
htl	FBgn0010389
CG14519	FBgn0039619
BG01354	FBgn0263074
blnd	FBgn0004570
CG8736	FBgn0033308
l(1)7Fd	FBgn0001467
CG34173	FBgn0085202
CG5715	FBgn0039180
CG40498	FBgn0069969
Xrcc2	FBgn0030931
CG5190	FBgn0034351
l(2)SH0069	FBgn0065952
Stalker4\\ORF1	FBgn0066077
smt	FBgn0003446
micropia\\gag	FBgn0043475
tnc	FBgn0039257
l(2)SH1275	FBgn0065483
l(1)83A	FBgn0019746
snoRNA:Psi28S-3316a	FBgn0082972
CG41461	FBgn0084022
CG14893	FBgn0038451
l(3)ET4	FBgn0005213
LYT106	FBgn0044431
tRNA:Pro-AGG-1-6	FBgn0052128
l(1)17Cc	FBgn0061168
l(3)06743	FBgn0010901
l(2)SH0682	FBgn0065671
NK7.1	FBgn0024321
E(smoDN)1857	FBgn0083297
CR45790	FBgn0267440
anon-A34	FBgn0020878
l(3)L6332	FBgn0024563
l(2)SH2135	FBgn0065249
l(1)ff	FBgn0005116
Oseg4	FBgn0035264
ovr	FBgn0041730
l(3)S045507a	FBgn0060878
mir-4986	FBgn0263541
CG7966	FBgn0038115
mei(2)yoh7134	FBgn0069129
eightless	FBgn0011588
yps	FBgn0022959
CG2604	FBgn0037298
CR45631	FBgn0267191
l(3)S057114b	FBgn0060802
Usp16-45	FBgn0029763
Dyrk2	FBgn0016930
fs(1)M20	FBgn0000836
anon-70Db	FBgn0016773
CR44604	FBgn0265815
CG12018	FBgn0027903
E(var)88D	FBgn0000600
a10	FBgn0011293
Ptx1	FBgn0020912
S(ls)6	FBgn0086204
CG33932	FBgn0066303
C275	FBgn0259384
snoRNA:Me28S-G1083b	FBgn0082934
Orct2	FBgn0086365
l(2)25Ce	FBgn0001924
T:SS-Lcp2	FBgn0262959
l(1)G0453	FBgn0029054
Gnmt	FBgn0038074
CR44440	FBgn0265633
HM165	FBgn0082359
l(2)37Ad	FBgn0025775
CG14646	FBgn0037241
l(3)F6	FBgn0067730
Fie	FBgn0026592
CG33914	FBgn0053914
CG10519	FBgn0037055
CG4297	FBgn0031258
mfas	FBgn0260745
God60D	FBgn0015231
EP1581	FBgn0043367
CG34291	FBgn0085320
rost	FBgn0011705
CG41457	FBgn0084019
fs(1)MY18	FBgn0000913
l(3)S059706a	FBgn0060785
l(4)102CDc	FBgn0004519
CR46028	FBgn0267692
l(1)TK110	FBgn0005707
CG6712	FBgn0032408
Rasta	FBgn0062260
l(2)SH0953	FBgn0065576
CG41101	FBgn0069942
CR44407	FBgn0265580
l(3)SH159	FBgn0065116
fray	FBgn0023083
CR43434	FBgn0263382
wun	FBgn0016078
CG15024	FBgn0040699
l(1)ts504	FBgn0001833
Dok	FBgn0029944
l(3)S075901	FBgn0060684
app	FBgn0260941
CR45680	FBgn0267240
l(1)L13	FBgn0016812
schlank	FBgn0040918
CR43262	FBgn0262943
CR44321	FBgn0265380
anon-59Cb	FBgn0020583
furrow	FBgn0015943
l(1)11P11	FBgn0013472
CR46181	FBgn0267893
HPS1	FBgn0033973
GstZ1	FBgn0037696
Scim36	FBgn0044392
CG12267	FBgn0038057
CG9044	FBgn0031752
CG7408	FBgn0036765
CR43771	FBgn0264271
l(2)06253	FBgn0010615
CG13032	FBgn0036652
CR43995	FBgn0264727
l(1)Q248	FBgn0011163
l(2)k04909b	FBgn0022195
CG13742	FBgn0033372
CG12209	FBgn0033498
CR46204	FBgn0267923
snoRNA:Psi18S-841b	FBgn0083018
CR44751	FBgn0265964
Gull	FBgn0001097
JJF170	FBgn0069413
l(2)50F7	FBgn0026650
CG13047	FBgn0036594
CG13064	FBgn0040796
CR44997	FBgn0266348
l(2)36Fh	FBgn0002015
CR40963	FBgn0085779
CG6839	FBgn0036831
Gr66a	FBgn0035870
GSd312	FBgn0260319
fs(3)G3	FBgn0001036
l(3)63Db	FBgn0024625
l(1)G0129	FBgn0026669
X-97-26	FBgn0069302
Mod(Prat:bw)3-4	FBgn0067871
TotX	FBgn0044810
CG3088	FBgn0036015
CG41272	FBgn0085590
B1520	FBgn0259646
CR44499	FBgn0265692
CR45821	FBgn0267471
tweek	FBgn0261671
Idgf5	FBgn0064237
l(3)06886	FBgn0024514
l(2)09639	FBgn0010656
exl	FBgn0016796
l(3)C26	FBgn0263886
CG7806	FBgn0032018
l(3)S107701	FBgn0060498
CR44378	FBgn0265528
Stalker2\\ORF3	FBgn0063396
CG1421	FBgn0032966
CG5112	FBgn0039341
pncr014:3L	FBgn0265295
CG2918	FBgn0023529
CG10934	FBgn0034263
ND-B8	FBgn0040705
mfrn	FBgn0039561
Nbr	FBgn0032924
Pex1	FBgn0013563
Ir75a	FBgn0036757
RASSF8	FBgn0261986
ms(1)RD33	FBgn0005310
Rcd7	FBgn0260461
gnu	FBgn0001120
CR46124	FBgn0267799
Itgbn	FBgn0010395
l(1)HM11	FBgn0001741
Grd	FBgn0001134
CG10481	FBgn0032827
2.15.50	FBgn0084644
GSd229	FBgn0260355
l(2)KC-C	FBgn0027163
CG11898	FBgn0039645
CG31195	FBgn0051195
GSd485	FBgn0260372
l(2)SH2068	FBgn0065266
eyg	FBgn0000625
Pt-9A	FBgn0022362
CG4074	FBgn0037017
CG4975	FBgn0034266
CG7518	FBgn0038108
l(3)S002401b	FBgn0061131
alpha-Est2	FBgn0015570
Osw	FBgn0005326
CG1461	FBgn0030558
CG8368	FBgn0035707
CR43641	FBgn0263650
CG7239	FBgn0031740
b6-22	FBgn0261740
l(3)SG68	FBgn0002507
l(3)77Ea	FBgn0027140
tx-like	FBgn0027625
l(2)SH0577	FBgn0065717
CR45175	FBgn0266685
fs(1)h	FBgn0004656
CR46134	FBgn0267809
CG6136	FBgn0038332
Ocho	FBgn0040296
CR45513	FBgn0267069
l(2)25Cc	FBgn0001922
dfw	FBgn0000441
CR42790	FBgn0261861
CR44789	FBgn0266024
CR46002	FBgn0267664
CR30029	FBgn0050029
CG30357	FBgn0050357
ad	FBgn0000048
l(3)rM731	FBgn0011521
snoRNA:Or-aca4	FBgn0082922
mus205	FBgn0002891
Cpr49Ab	FBgn0050042
l(2)T56i24	FBgn0011624
Slc45-1	FBgn0035968
stmA	FBgn0086784
CG4116	FBgn0029649
QC	FBgn0052412
CR45907	FBgn0267567
ifm(2)RU3	FBgn0028639
l(2)26Cf	FBgn0001945
blv	FBgn0260013
l(2)SH0430	FBgn0065790
Ude	FBgn0039226
CR40801	FBgn0085520
CR45362	FBgn0266902
TfIIA-S-2	FBgn0040338
l(3)S113302	FBgn0250743
pratf	FBgn0003144
CG13144	FBgn0032260
l(2)SH1033	FBgn0065552
CR45189	FBgn0266699
CG2841	FBgn0003159
ms(1)19Fb	FBgn0002803
CG42712	FBgn0261629
CG9259	FBgn0032913
pf-4	FBgn0043862
CG16749	FBgn0037678
mir-306	FBgn0262386
l(1)HM32	FBgn0015453
l(1)10Eb	FBgn0001617
ren	FBgn0028571
l(3)S055009a	FBgn0060807
l(1)v146	FBgn0005443
PIP4K	FBgn0039924
5SrRNA:CR33392	FBgn0053392
CG12502	FBgn0035171
anon-65Bb	FBgn0020336
B0911	FBgn0259602
CR43472	FBgn0263449
CR44809	FBgn0266044
Bip-p150	FBgn0024141
CG42673	FBgn0261555
nocte	FBgn0261710
CG7044	FBgn0038854
mei-1725	FBgn0020810
l(3)S133501b	FBgn0027984
EP-429	FBgn0259377
rsi	FBgn0003283
Sesn	FBgn0034897
Usp2	FBgn0031187
Nup44A	FBgn0033247
l(2)k13215	FBgn0024870
CG14445	FBgn0029851
CG13022	FBgn0036679
CG34206	FBgn0085235
CG32500	FBgn0052500
Ras85D::Src64B	FBgn0016702
l(1)20Ag	FBgn0023070
Su(var)303	FBgn0004114
CG30275	FBgn0050275
fang	FBgn0084745
CSN4	FBgn0027054
slinky	FBgn0016069
CG16717	FBgn0036028
Pt-16	FBgn0022374
l(2)SH1775	FBgn0065354
CR40642	FBgn0085761
EP-298	FBgn0259464
Sas10	FBgn0029755
betaTub56D::betaTub85D	FBgn0045841
Ir60b	FBgn0259185
CG1909	FBgn0039911
snmRNA:419	FBgn0065094
l(1)302-9	FBgn0011195
poe	FBgn0011230
mrn	FBgn0261109
volcano	FBgn0041088
anon-96Fb	FBgn0013397
CG41248	FBgn0085574
Acox57D-d	FBgn0034629
CG14363	FBgn0038185
CR45960	FBgn0267622
CG7787	FBgn0032020
Ste:CG33244	FBgn0053244
l(2)SH0827	FBgn0065613
Or43b	FBgn0026393
Capa	FBgn0039722
l(2)me	FBgn0002154
CG34117	FBgn0083953
tRNA:Val-AAC-2-2	FBgn0050326
ball	FBgn0027889
CG14837	FBgn0035797
l(1)Q228	FBgn0011152
29B70	FBgn0066317
Jon99Co	FBgn0069405
Tbp	FBgn0003687
CG33521	FBgn0250819
Sodh-2	FBgn0022359
E(var)130	FBgn0013228
CG13868	FBgn0034501
33R6	FBgn0260044
anon-B3	FBgn0022751
Roc2	FBgn0044020
Su(tor)3-307	FBgn0014065
ATPsynbetaL	FBgn0036568
snRNA:U4atac:83A	FBgn0052861
CR46214	FBgn0267934
Sfp24Bc	FBgn0261054
cal	FBgn0000252
l(2)22Aj	FBgn0040129
l(3)ry111	FBgn0014313
Obp58b	FBgn0034768
CG31102	FBgn0051102
CG9316	FBgn0032878
l(2)SH0412	FBgn0065799
l(2)ry36	FBgn0013536
CG16741	FBgn0042198
CG13454	FBgn0036503
CG5377	FBgn0038974
s-167	FBgn0266498
CG32683	FBgn0052683
CG16758	FBgn0035348
l(2)k15826	FBgn0021832
E(Egfr)C22	FBgn0023222
CG6613	FBgn0034694
bubbles	FBgn0086713
IM3	FBgn0040736
CG42394	FBgn0259740
P25	FBgn0062562
iab-6-2.s	FBgn0065979
l(3)98Fa	FBgn0023429
l(3)S088113	FBgn0060622
M(3)98B	FBgn0261600
Dia6	FBgn0022626
fs(1)M74	FBgn0000876
Jra	FBgn0001291
COX7A	FBgn0040529
Atg10	FBgn0040780
CR44803	FBgn0266038
CG43351	FBgn0263083
CR45936	FBgn0267598
l(1)7Dh	FBgn0001454
CG12831	FBgn0033141
CG30289	FBgn0050289
l(3)S059416	FBgn0060788
gol	FBgn0004919
l(3)S056003b	FBgn0060805
inaF-D	FBgn0260812
dsx::fru	FBgn0024243
fl(1)35	FBgn0025935
Got1	FBgn0001124
AstC	FBgn0032336
EP454	FBgn0083235
CG17698	FBgn0040056
l(2)SH0675	FBgn0065676
Or23a	FBgn0026395
CG14787	FBgn0027793
CG13678	FBgn0035859
CG41495	FBgn0085656
Usp8	FBgn0038862
E(ftz)3201	FBgn0082681
Su(tor)307-14	FBgn0043978
lectin-24Fa	FBgn0040101
Cdk1	FBgn0004106
CG11679	FBgn0030678
CG8031	FBgn0038110
dpr7	FBgn0053481
28SrRNA-Psi:CR45851	FBgn0267511
CG32238	FBgn0052238
mir-4912	FBgn0263575
l(3)S071615	FBgn0060702
CG4942	FBgn0035960
mRpS9	FBgn0037529
CR44464	FBgn0265657
Kap-alpha3	FBgn0027338
CG42728	FBgn0261681
l(3)S026111	FBgn0061012
2L1687	FBgn0260082
l(3)2	FBgn0013558
dmpd	FBgn0033486
CG13731	FBgn0036717
CG7091	FBgn0038099
l(3)S048518	FBgn0060850
pon	FBgn0025739
CG33108	FBgn0053108
Debcl	FBgn0029131
l(1)MA	FBgn0013500
HM304	FBgn0082353
CG41040	FBgn0069967
fs(1)A117	FBgn0000739
l(3)78Ab	FBgn0013566
snoRNA:MeU6-A47	FBgn0025882
CR43420	FBgn0263339
CR44084	FBgn0264893
CG30082	FBgn0050082
CG32212	FBgn0052212
CR45273	FBgn0266811
p160M	FBgn0067668
CR44807	FBgn0266042
l(2)31Da	FBgn0014218
snRNP54K	FBgn0022971
CR45417	FBgn0266966
mus206	FBgn0002892
CG40267	FBgn0058267
CG3898	FBgn0030070
CG13575	FBgn0034996
CR32229	FBgn0052229
CG32588	FBgn0052588
snoRNA:U3:9B	FBgn0065046
Klp98A	FBgn0004387
snoRNA:Me18S-C1096	FBgn0086055
smo::Mmmm\\EB2	FBgn0259484
l(3)95Ax	FBgn0025749
Su(osk)E2	FBgn0020898
l(2)36Fb	FBgn0002009
CG30380	FBgn0050380
E(br)65	FBgn0069444
CR34006	FBgn0054006
darkener-of-white-eosin	FBgn0005003
SkpB	FBgn0026176
CR45161	FBgn0266654
anon-98Da	FBgn0014940
l(2)SH2059	FBgn0065270
CG4038	FBgn0011824
CG7763	FBgn0040503
snmRNA:649	FBgn0065087
l(3)psg22	FBgn0277425
omm	FBgn0002999
prg	FBgn0027944
l(1)2Bj	FBgn0001378
Cyp6t1	FBgn0031182
l(2)k11405	FBgn0021914
l(3)SzB90Cn	FBgn0060376
X-157-3	FBgn0069324
RhoGAP16F	FBgn0030893
flexin	FBgn0042643
Desat2	FBgn0043043
CR46141	FBgn0267816
CG8498	FBgn0031992
His3:CG33812	FBgn0053812
l(3)SG53	FBgn0002493
CG13334	FBgn0033856
ms(2)1400	FBgn0011664
l(1)14Ea	FBgn0001542
CG6028	FBgn0038924
CR43833	FBgn0264381
l(3)77ABg	FBgn0029025
anon-38C.43	FBgn0046661
CR32027	FBgn0052027
CG43221	FBgn0262857
CR44926	FBgn0266231
CG7094	FBgn0032650
l(2)SH1110	FBgn0065530
l(1)Q69	FBgn0011108
2L1685	FBgn0260602
CG42580	FBgn0260870
Mst77Y-5Psi	FBgn0262754
CG12224	FBgn0037974
CR32218	FBgn0052218
l(2)SH2065	FBgn0065268
2L3301	FBgn0260055
CR45590	FBgn0267150
l(3)00281	FBgn0010714
GlcAT-S	FBgn0032135
CG13562	FBgn0034928
l(3)S089303b	FBgn0060617
CR43258	FBgn0262903
Lam	FBgn0002525
Shawl	FBgn0085395
CR45427	FBgn0266976
tow	FBgn0035719
CG32091	FBgn0052091
HLH3B	FBgn0011276
Or49b	FBgn0028963
CG3032	FBgn0029928
EP1139	FBgn0062698
CG13055	FBgn0036583
l(3)S148907	FBgn0060304
Alg-2	FBgn0086378
T:nls-tra	FBgn0069344
rey-del-mundo	FBgn0260024
Zasp66	FBgn0035917
dpr21	FBgn0260995
loopin-1	FBgn0259795
CR44972	FBgn0266307
CG42393	FBgn0259739
l(1)ds3	FBgn0001651
l(3)SG73	FBgn0005254
Dfd::Ubx	FBgn0012300
fs(3)100C	FBgn0020301
Adhr	FBgn0000056
CG17078	FBgn0086855
CR46185	FBgn0267897
l(1)2Cc	FBgn0001391
CG41347	FBgn0085628
CR45983	FBgn0267645
p22	FBgn0022725
2L3910	FBgn0260086
CG14880	FBgn0038422
PDZ-GEF	FBgn0265778
l(1)15Db	FBgn0017389
CG5886	FBgn0039379
CG33648	FBgn0053648
GSd239	FBgn0260261
CG9932	FBgn0262160
CR44762	FBgn0265983
CR44970	FBgn0266305
CG6209	FBgn0033862
CG9302	FBgn0032514
tRNA:Leu-CAA-2-2	FBgn0052127
CR44226	FBgn0265157
l(1)TK303	FBgn0005750
l(2)39ADa	FBgn0016863
l(1)272-13	FBgn0005114
l(3)82Fa	FBgn0013573
CG6201	FBgn0032343
sd	FBgn0003345
CR31781	FBgn0051781
fs(1)A99	FBgn0000738
CG14523	FBgn0039612
l(3)S071710	FBgn0028104
RapGAP1	FBgn0264895
Bsg25A	FBgn0000227
fs(2)E6	FBgn0000959
Ublcp1	FBgn0027526
srl	FBgn0037248
BS\\RTase	FBgn0044506
l(2)SH2049	FBgn0065275
beta4GalNAcTB	FBgn0039625
E(rst)B37	FBgn0044125
CG40390	FBgn0058390
Sry-alpha	FBgn0003510
x5	FBgn0005375
CG43335	FBgn0263040
scrub	FBgn0264659
Op29	FBgn0013999
lcs	FBgn0028583
